               block cumulative_averages         uncertainty
                   0                   0                   0
                   1             1.48525                   0
                   2             1.49569           0.0104379
                   3             1.50362           0.0099624
                   4             1.50489           0.0071575
                   5             1.50486          0.00554424
                   6             1.50185          0.00543913
                   7             1.50033          0.00484225
                   8             1.50097          0.00424205
                   9             1.49973          0.00394141
                  10             1.50024          0.00356234
                  11             1.50116           0.0033507
                  12             1.50151          0.00307943
                  13             1.50174          0.00284154
                  14             1.50087          0.00276958
                  15             1.49939          0.00297554
                  16             1.50023          0.00290804
                  17             1.50085          0.00280005
                  18             1.50102          0.00264537
                  19             1.50152          0.00255224
                  20             1.50117          0.00244606
                  21             1.50123          0.00232753
                  22             1.50144          0.00222892
                  23             1.50218           0.0022558
                  24             1.50231          0.00216367
                  25             1.50216          0.00208106
                  26             1.50181          0.00203069
                  27             1.50197          0.00196079
                  28             1.50292          0.00211732
                  29              1.5035          0.00212314
                  30             1.50334          0.00205729
                  31             1.50387          0.00205914
                  32             1.50352          0.00202444
                  33             1.50345          0.00196327
                  34             1.50341          0.00190507
                  35             1.50308          0.00188008
                  36             1.50327          0.00183713
                  37             1.50301           0.0018049
                  38             1.50367          0.00187537
                  39              1.5033          0.00186339
                  40             1.50329          0.00181623
                  41             1.50346          0.00177936
                  42             1.50364          0.00174533
                  43             1.50339          0.00172175
                  44             1.50343          0.00168264
                  45             1.50347          0.00164523
                  46             1.50296          0.00168924
                  47             1.50303          0.00165442
                  48             1.50269           0.0016552
                  49             1.50291          0.00163604
                  50             1.50277          0.00160909
                  51             1.50257          0.00158892
                  52             1.50229          0.00158441
                  53             1.50228          0.00155424
                  54             1.50234          0.00152622
                  55              1.5022          0.00150503
                  56             1.50286          0.00161938
                  57              1.5028          0.00159185
                  58              1.5028          0.00156418
                  59             1.50279          0.00153752
                  60             1.50262          0.00152097
                  61             1.50252          0.00149934
                  62             1.50257          0.00147576
                  63             1.50235          0.00146844
                  64             1.50222          0.00145124
                  65             1.50191          0.00146229
                  66             1.50164          0.00146511
                  67             1.50162          0.00144321
                  68             1.50174          0.00142692
                  69             1.50158           0.0014146
                  70             1.50166          0.00139669
                  71             1.50114          0.00147358
                  72             1.50103          0.00145677
                  73             1.50102          0.00143672
                  74             1.50134          0.00145253
                  75             1.50119           0.0014414
                  76             1.50136          0.00143233
                  77             1.50132          0.00141396
                  78             1.50145          0.00140184
                  79             1.50128          0.00139514
                  80             1.50096          0.00141427
                  81             1.50078          0.00140757
                  82             1.50084          0.00139146
                  83             1.50085          0.00137462
                  84              1.5009          0.00135912
                  85             1.50076          0.00135066
                  86              1.5007          0.00133627
                  87             1.50076          0.00132217
                  88             1.50078          0.00130727
                  89             1.50075          0.00129272
                  90               1.501          0.00130152
                  91             1.50106          0.00128876
                  92             1.50094          0.00128107
                  93             1.50079          0.00127586
                  94               1.501          0.00128029
                  95             1.50087          0.00127371
                  96             1.50087          0.00126038
                  97             1.50086          0.00124736
                  98             1.50091          0.00123575
                  99             1.50082          0.00122644
                 100             1.50069          0.00122132
