                   x                   y                   z
                   0                   0                  20
            0.452245           -0.261643            0.434929
           -0.190407          -0.0256459             1.11248
            0.623149           -0.231457            0.116871
           -0.890409           -0.169637            0.375546
           -0.175591            0.220964           -0.166815
            0.810736            0.393499           -0.696286
           -0.543114            -1.54181           -0.288934
           0.0798712             0.46079           -0.459881
             2.16918           -0.954802            -1.25189
            -1.56679            -1.14142           -0.634087
           -0.416544            0.252823           -0.230118
           -0.759015            -1.28123             1.37078
              3.6489             1.40661           -0.188102
           -0.507982           -0.979733          -0.0083883
            0.175915            -1.13306            0.292711
           0.0194509           0.0799897            -1.43458
            0.172839            -1.05543            0.163546
             0.23387           -0.510992           0.0186053
           -0.296393           -0.288162           -0.289033
           -0.929216            0.531075            0.779124
           -0.396844            0.348543           -0.424562
           -0.772934           -0.189361             0.46509
            0.882406              2.1341           -0.726449
           -0.395753          -0.0623874            -0.70739
           -0.728637            0.797106           -0.503426
            -0.16739           -0.661699             0.56155
             0.36607           -0.294351            0.993213
           0.0599654           -0.305589           -0.236973
            -1.38268           -0.868866            0.593528
            -0.43027            0.583903             1.01295
          -0.0235487           -0.455663            0.942757
            0.731498           0.0683467            0.832017
             1.54015            -1.41689            0.760389
           -0.661336           -0.505778           0.0195575
            0.167153            -1.15719            0.263344
            0.214717           -0.717414            0.556765
           -0.194102            -1.17878            0.451189
            0.132248             1.07279            0.874496
             -1.7482             2.12753           -0.244494
            0.602978            0.103866            0.172779
           -0.348345            0.444205          -0.0483649
            0.435199             0.17529            0.220108
            0.526386             1.02503             1.59293
            0.243731            0.603461            0.711142
           -0.111994           -0.218626           -0.100122
           -0.593811            -2.02418            0.395916
           -0.283403           -0.921854            0.278907
           -0.510736            0.104718            0.363627
             1.04477             -1.7425           -0.478917
             1.06078            0.330469           -0.867082
            0.367885           -0.227028             -1.7459
           -0.944928            0.172991             1.09327
            -0.60696             2.14436              1.6938
            -1.71609             2.02202             0.29056
           -0.662586          -0.0510083            -1.86976
             0.65737             1.01663             0.69788
            0.773313            0.604141           -0.752003
           -0.128249           -0.139175             0.81238
           -0.176979             1.74389           -0.689272
           -0.671085            -2.00837             1.87547
          -0.0499598           0.0118581           -0.827202
             2.54447            -1.49173             1.74997
           -0.317431             0.32454           0.0173166
            0.275222            -1.82504             1.34201
            0.951847            0.258602            -1.60026
           0.0738464          -0.0667825            0.301227
            -1.02244           -0.884159            0.466176
            0.417515           0.0832343            0.101938
            -2.16897              1.2379            0.597296
            0.548707         -0.00845749             0.71228
            0.124392            0.927308           0.0776883
             2.84619           -0.421491           -0.134234
           -0.158092             2.27097            -3.21195
             2.07261            -1.31051             1.88293
            0.333694            0.392162           -0.367778
           0.0980327              0.4758           -0.550388
             0.34697            0.669142           -0.174462
            0.783263             1.34118            -1.10328
           -0.424576             1.32881           -0.565782
           -0.453343            0.423187           0.0444406
            -2.05601            0.419103           0.0892544
           -0.964787            0.211357           -0.954735
           -0.710557           -0.119766           -0.318171
           -0.899003           -0.054453             2.95391
             -1.3315            -1.79221            -1.59693
             0.11041           -0.311852            0.234049
            0.777154           -0.259707           -0.775915
             1.11295            0.248885             1.84228
         -0.00139892           -0.083531            0.509657
            0.839643           -0.133164           -0.451925
             1.15454             2.52858            0.958992
            0.310375              1.9168           -0.895279
            0.370316            0.551195            0.337158
            0.204688            -1.74562             0.85586
             2.02205             3.89377              0.9825
             1.23963           -0.275408            0.463511
             0.90687            0.355886             1.65788
           -0.665364           -0.648457            0.188449
           -0.758895            0.551005             0.42939
            0.564667             -2.1423            -1.08676
            -1.32677            0.609725            -2.77189
            0.295808            -1.64417              1.2529
           0.0720687            -1.26184            -1.22465
             1.37854           -0.950125            0.127553
            -1.95281            -2.42744          -0.0666763
            0.413459            0.564422            0.206029
            0.659779           -0.497068              1.5805
           0.0833509            0.796563              1.1231
            -0.21898            0.443666          -0.0275624
            0.903907           -0.261935           0.0533638
            -1.38144           -0.608598            0.790474
            0.829448            0.133354             1.40228
           0.0747688           -0.952396            0.745724
           -0.402652           -0.723086            -0.25725
          0.00649312            -1.01301           -0.169164
             2.93672             2.29473           -0.375222
           -0.576628             -1.2062           -0.561367
           -0.284479           -0.411817            -1.67863
            0.160372           -0.277208           0.0706251
            0.499525           -0.327059            0.367973
           -0.573953            0.512727            0.649036
            0.917241            -1.13334            0.153657
             1.82852             1.48776            0.981305
            0.125926           -0.748579            -1.11025
            0.136713           -0.228341           -0.599088
            0.768512            0.681717             0.65828
            0.180835            0.361079           -0.162058
             1.37396             -1.1377            -1.11757
           -0.369833            -1.51571            -2.70219
            0.602782            -1.03681            0.408648
            0.387451           -0.532148           -0.776512
           -0.138008            0.130094           -0.384389
            0.388431            0.123406             0.94009
           -0.368213            0.695438          -0.0964467
           -0.301122            0.520445             1.09903
            -0.55092           -0.796189           -0.621062
            0.174693           -0.387526            0.360404
             1.94085            0.758923            -1.60176
            0.685417           -0.586995            0.416544
           -0.484439           -0.292824          -0.0609326
            0.690872           -0.834379             1.04616
             1.08705           -0.146502            0.735304
            0.362051           -0.493581            0.175909
           -0.368658           -0.147718           -0.295927
           -0.611905           -0.774745            0.131517
            -1.11455             3.22838            -1.89939
             1.87817             1.41364           -0.127156
           -0.799227           -0.146635           0.0615062
            0.363484           0.0865637          0.00121137
           -0.318114            0.623419           -0.309644
           -0.892779            0.610291             1.54791
           -0.173603            0.104589            0.159287
           -0.979384             1.56886           -0.258845
            -1.39327           -0.402164            -1.19838
           -0.262774           -0.737848           -0.250688
           -0.684362             0.96949           -0.434423
           -0.433057           -0.230413            0.090984
           -0.325943          -0.0943902            0.165022
            -2.91867            -0.60829            -0.63515
           -0.330612            0.011904            0.644067
            0.544675           -0.227792          -0.0505639
            0.972166           -0.495767            0.153646
            0.111364           -0.135791             1.59516
            0.879322          -0.0833901            0.875741
            0.936599            -2.68876            -1.85233
            0.528461            -0.66643            0.508737
              2.5268            -2.29658            0.246896
            -1.34524            0.810353             1.37026
           -0.793399            -0.12075           -0.312751
            0.883185             1.25401           -0.497946
             2.46141           -0.427321           -0.470159
            -1.49946           -0.247795           -0.235134
            -2.93607           -0.767204            -1.17047
            0.432945           -0.770637            -1.18467
           -0.783319            0.253193           -0.334203
            0.765653            0.128199             0.46218
             1.01806           -0.188927            0.222945
            -2.33803             0.49525           -0.494034
          -0.0885586           -0.499255            -0.71147
            0.745595           -0.280911           -0.253125
           -0.695624            0.804992           -0.972317
            0.570607            0.671946           -0.292837
           -0.239036           -0.883285            0.686479
            0.449014             0.11867             0.72601
           -0.833425          -0.0191028           -0.500981
           -0.990582           -0.226746           -0.820458
           0.0862897             -1.2688             0.71128
            0.338096           -0.514256            0.216291
            0.752033             0.22199           -0.916986
            -1.09536            0.732239            0.545155
            0.341399            0.241886           -0.522529
            -2.39748            -1.08812            -1.99173
