                   x                   y                   z
                   0                   0                  20
           -0.353533            0.469816           0.0813424
          -0.0644039            -0.84571            0.245062
           -0.398681            -2.32639            0.136801
             1.67321           -0.868621              1.3004
           -0.141063           -0.632822             1.08373
           -0.505336            0.602681           -0.970525
            -1.69972           -0.544416            -1.88725
            0.286695            -1.17863           -0.925555
             1.63679           -0.370991            -0.32874
            0.568729           -0.169455           -0.229399
            -1.61189           -0.935586           -0.867277
          -0.0704302          -0.0380563           -0.971076
            -1.01737             1.69182          -0.0854071
             2.08694             1.41361             1.40474
           -0.418354            0.314123           -0.562774
            0.720729             1.60365           -0.312666
            0.655992            -0.30958            0.631594
            0.184228            0.180645            -2.47647
         -0.00206951            -1.02913           -0.785206
           -0.476643             -0.5996             1.07094
            -0.88989          -0.0540575              0.0941
           -0.763713            0.704917           -0.624208
           -0.251415           -0.504178          -0.0518199
            0.574074           -0.456152            -1.10832
             2.24946            0.863495             1.02982
           -0.493881           -0.372603           -0.208631
            0.384732           -0.304533            0.295822
             0.82866            -2.74817             1.15573
            -1.87628             1.50965             1.39748
          -0.0692465           -0.233152           -0.625553
            0.109474           -0.524538           -0.144255
             1.16003          -0.0673467            -2.40693
            0.111508            -1.49973            0.365576
           -0.842396             1.43374             2.07004
            0.132404            0.277643           -0.263856
           -0.741352           -0.288116            0.246063
            0.286004            0.311707            0.149142
            0.313398           -0.325872             1.27886
            0.131025           -0.233576            0.462395
           -0.837942           -0.297614            0.213227
            0.139717            0.464366           -0.253281
            -1.51894            0.157729             1.73443
              -1.902             2.77283            -1.75415
           -0.727854            0.104826            -2.07563
            0.725572           -0.156307             1.93105
           0.0807602            0.138406           -0.363044
            -1.19121           -0.589638           -0.208444
           -0.795746            0.211692           -0.786539
           -0.548802            0.606119              1.2795
            -0.27597             0.29366          0.00210224
           -0.308256            -2.49786           -0.965067
             1.11072            0.522198           -0.766449
           -0.532501          -0.0280642           -0.657369
             1.68057          -0.0359383           -0.554978
           -0.550905           -0.906364             -2.5103
            0.765593            0.797258            0.743028
            0.378901            -1.19819            -1.16793
             1.11926            -1.70785            -1.93332
          -0.0424303           -0.471549            0.545189
            -2.22845            -1.39948            0.269067
            -1.10235            0.248201            0.420892
           -0.842117             1.88959           -0.297831
            -1.12009            0.373644            0.918155
            0.473232            0.176102             1.33483
            0.846535           -0.327122            0.149606
             1.97794            -2.14367             1.73043
             0.86588           -0.837839            0.662827
             1.01857           -0.258473            0.291655
            -1.93274           -0.834432           -0.156764
          -0.0828189            0.538085            0.202046
            0.325273           -0.126977            0.677961
             1.63466             0.90468            0.778436
            0.347471           -0.179248             1.34053
           0.0201736           -0.113024             1.01502
            0.947671              1.1378             2.25628
             1.13419            -1.08293           -0.903208
            -1.42015             0.40209            -1.14624
            0.218592             0.27074             1.01844
            0.118861             1.74355         -0.00860378
            0.915745            0.762264             1.15275
            0.246317           -0.498469            -0.41692
             0.19093             1.88263            -1.18787
             1.27321             1.31307            -1.05432
           -0.410522           -0.327649           0.0814348
            -1.33659            -1.33857            -1.26223
            0.479513            -1.09323           -0.594046
           -0.182107            0.869175            -1.53531
            -1.85145            -1.10956           -0.221131
            -1.21301             1.43694            0.306767
            0.350083            -1.68521             1.20936
            0.934603              1.0514          -0.0198385
             1.20762             1.82006           -0.808482
           0.0623099            -1.19936            0.356412
            0.606992           0.0566838            0.541398
            0.332675            -1.54013              1.0894
           0.0941027            0.324862             1.17318
           -0.363223           -0.115815            -1.17814
            -2.07499            -0.10483           -0.515083
           -0.599824            0.193363            0.745115
           0.0228397          0.00123957              -1.664
            0.874766            0.522646            -2.01039
            -1.42666             0.40519             0.55742
             -1.2531            -0.54964          -0.0534888
            0.420994             1.08119            -3.01361
            -1.72948           -0.770331           -0.142067
           -0.977346             1.72779             1.57998
           0.0754306             1.56545          -0.0126056
             1.82125           -0.573348           -0.603183
            -1.63286           -0.398458            -1.09962
           -0.759451            0.567173             1.17736
           -0.571981           -0.534618           -0.634766
           -0.259556           -0.467621            0.905676
             0.83979             1.37107            -1.93758
             1.25088           -0.131499             1.11976
             2.50778            0.533783            0.533954
            0.220293            0.393239            0.125888
             1.41236            -1.01283             -1.0792
             0.28355            0.915206             1.09993
           -0.867109             2.03639            -1.55612
             0.76956            -2.72076            -1.07958
            0.386809           -0.618169             0.60633
            0.365333            0.192932            0.206087
           -0.735477            -2.48422             1.97361
            -2.33108            0.329616             1.51036
             1.69599           -0.648594           -0.622379
           -0.288821            0.447302           -0.264517
            0.713177             1.16742           -0.175689
          -0.0666265            0.225799             1.16524
              1.4536             2.07752             -2.5403
            0.969568           -0.684269            -1.55331
           -0.212951            -0.19345           -0.692233
           -0.572881           0.0497095           0.0289715
           -0.727428           -0.564041           -0.311746
             1.44505             2.01799             2.41854
             1.64263           -0.574973            0.200497
             1.68159            0.590239            -1.05247
           0.0260713           -0.267258             1.53105
           0.0469347             1.37623            0.266936
            0.552648           -0.389209            0.339682
           -0.427256            -1.72736             0.44569
             0.32894            0.898088           0.0513994
            -2.16278            0.650717           -0.103907
            0.744208            -1.94904           -0.316811
            0.433247           0.0276409           -0.148164
           -0.373609           -0.765573             1.04979
             2.02565            0.530999           -0.028235
            0.931693             1.05007            0.244325
             2.06766            -1.02456            -1.12722
            0.501589          -0.0176003           -0.873745
           -0.717051              1.1818            0.429028
           -0.886249            0.478184             1.37683
            0.597964            0.826894            0.265714
            0.419018             1.17643           -0.672813
             0.84491             0.84894            0.425665
              0.3734           -0.777861           0.0392753
             1.16579           -0.307303            -1.20125
            0.718829            0.242199             1.23321
            0.601488            -1.22538            0.852633
            -1.23448             1.84045             2.56491
             0.36262           -0.116114           -0.339344
            0.928785             2.40096           -0.363624
            0.277754            -0.32527            0.470613
            -2.00441            -1.14033           -0.402056
             1.30242          -0.0405121           -0.736446
           -0.324202            0.146668            0.084991
            -2.04755            0.845157            -1.41427
             1.06155            0.575517           -0.326874
            0.213699            -1.05299            0.621923
            -1.23783            0.653558            0.665583
          -0.0785366            0.229851            -0.29434
