               block cumulative_averages         uncertainty
                   0                   0                   0
                   1             4.97738                   0
                   2             4.97378          0.00359172
                   3             4.97944          0.00602059
                   4             4.97974          0.00426789
                   5             4.99027            0.011039
                   6             4.99739           0.0114889
                   7             4.99318           0.0105847
                   8             4.99486          0.00931893
                   9             5.00435           0.0125525
                  10             5.00732           0.0116156
                  11             5.00824           0.0105465
                  12             5.00865          0.00963628
                  13             5.01238          0.00961645
                  14             5.01086          0.00903171
                  15             5.00956          0.00850717
                  16             5.00566          0.00886556
                  17             5.00407          0.00847783
                  18             5.00278          0.00809546
                  19             5.00058          0.00796891
                  20             5.00131          0.00759498
                  21             5.00118          0.00722542
                  22             5.00171          0.00691005
                  23             5.00121           0.0066218
                  24             4.99902          0.00670907
                  25             4.99728          0.00666575
                  26             4.99543          0.00666665
                  27             4.99523          0.00641803
                  28             4.99556          0.00619316
                  29             4.99678          0.00609952
                  30             4.99606          0.00593612
                  31             4.99656          0.00576315
                  32             4.99737          0.00563867
                  33             4.99826          0.00553664
                  34             4.99766          0.00540488
                  35             4.99775          0.00524892
                  36             4.99907          0.00526997
                  37             4.99872          0.00513772
                  38             4.99914           0.0050183
                  39             4.99941          0.00489572
                  40             4.99879          0.00481196
                  41              4.9987          0.00469397
                  42             4.99802          0.00463218
                  43             4.99969          0.00482417
                  44             4.99975          0.00471358
                  45             4.99946          0.00461632
                  46             4.99942          0.00451505
                  47             4.99929          0.00442005
                  48             4.99842          0.00441253
                  49             4.99858          0.00432434
                  50             4.99856          0.00423701
                  51             4.99919           0.0042002
                  52             4.99976          0.00415796
                  53             4.99974          0.00407879
                  54             5.00014          0.00402282
                  55             4.99924          0.00405081
                  56             4.99933           0.0039788
                  57             4.99879          0.00394571
                  58             4.99873          0.00387746
                  59              4.9988          0.00381183
                  60             4.99963            0.003839
                  61             4.99989          0.00378422
                  62             4.99991          0.00372275
                  63             5.00014          0.00367007
                  64             4.99896          0.00380032
                  65              4.9991          0.00374423
                  66             4.99958          0.00371778
                  67             4.99985          0.00367205
                  68             4.99996          0.00361924
                  69             4.99902          0.00368783
                  70             4.99929          0.00364429
                  71             4.99938          0.00359389
                  72             4.99898          0.00356655
                  73             4.99855          0.00354363
                  74             4.99889          0.00351197
                  75             4.99866          0.00347201
                  76             4.99878          0.00342806
                  77             4.99819          0.00343536
                  78             4.99829          0.00339249
                  79              4.9983          0.00334928
                  80             4.99817          0.00330944
                  81             4.99835           0.0032734
                  82             4.99833          0.00323329
                  83             4.99845          0.00319631
                  84             4.99859          0.00316092
                  85             4.99894          0.00314371
                  86              4.9986          0.00312573
                  87             4.99872          0.00309176
                  88             4.99874          0.00305655
                  89             4.99874          0.00302202
                  90             4.99863          0.00299021
                  91             4.99851          0.00295956
                  92             4.99946          0.00307911
                  93             4.99951          0.00304616
                  94             4.99993          0.00304228
                  95              5.0002           0.0030221
                  96             4.99976          0.00302224
                  97             5.00004          0.00300377
                  98             4.99963          0.00300016
                  99             5.00016          0.00301673
                 100             5.00042          0.00299764
